"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Tue Oct 18 12:06:02 UTC 2022","Tue Oct 18 12:06:02 UTC 2022","15","","test_pipeline","TestPipeline","","","test get job status",""
"failed","Tue Oct 18 12:05:31 UTC 2022","Tue Oct 18 12:05:36 UTC 2022","5105","","test_datasource","TestDataSource","","","create mongodb datasource with form",""
"failed","Tue Oct 18 12:05:36 UTC 2022","Tue Oct 18 12:05:47 UTC 2022","10230","","test_datasource","TestDataSource","","","create mongodb datasource with uri",""
"failed","Tue Oct 18 12:05:52 UTC 2022","Tue Oct 18 12:06:02 UTC 2022","10175","","test_datasource","TestDataSource","","","create PG datasource with form",""
"broken","Tue Oct 18 12:06:02 UTC 2022","Tue Oct 18 12:06:02 UTC 2022","18","","test_pipeline","TestPipeline","","","test_check",""
"broken","Tue Oct 18 12:06:02 UTC 2022","Tue Oct 18 12:06:02 UTC 2022","9","","test_pipeline","TestPipeline","","","table merge in sync",""
"broken","Tue Oct 18 12:06:02 UTC 2022","Tue Oct 18 12:06:02 UTC 2022","7","","test_pipeline","TestPipeline","","","js udf in sync",""
"broken","Tue Oct 18 12:06:02 UTC 2022","Tue Oct 18 12:06:02 UTC 2022","38","","test_pipeline","TestPipeline","","","real time database migrate between mongodb",""
"broken","Tue Oct 18 12:06:02 UTC 2022","Tue Oct 18 12:06:02 UTC 2022","8","","test_pipeline","TestPipeline","","","filter column in sync",""
"broken","Tue Oct 18 12:06:02 UTC 2022","Tue Oct 18 12:06:02 UTC 2022","11","","test_pipeline","TestPipeline","","","rename column in sync",""
"broken","Tue Oct 18 12:06:02 UTC 2022","Tue Oct 18 12:06:02 UTC 2022","9","","test_pipeline","TestPipeline","","","test monitor job status",""
"broken","Tue Oct 18 12:06:02 UTC 2022","Tue Oct 18 12:06:02 UTC 2022","10","","test_pipeline","TestPipeline","","","js udf in sync",""
"broken","Tue Oct 18 12:06:02 UTC 2022","Tue Oct 18 12:06:02 UTC 2022","8","","test_pipeline","TestPipeline","","","test stop job",""
"broken","Tue Oct 18 12:06:02 UTC 2022","Tue Oct 18 12:06:02 UTC 2022","0","","test_datasource","TestDataSource","","","create Kafka datasource with form",""
"broken","Tue Oct 18 12:06:02 UTC 2022","Tue Oct 18 12:06:02 UTC 2022","10","","test_pipeline","TestPipeline","","","real time table sync between mongodb",""
"broken","Tue Oct 18 12:06:02 UTC 2022","Tue Oct 18 12:06:02 UTC 2022","7","","test_pipeline","TestPipeline","","","config job",""
"failed","Tue Oct 18 12:05:26 UTC 2022","Tue Oct 18 12:05:31 UTC 2022","5552","","test_datasource","TestDataSource","","","create datasource with mongodb uri",""
"broken","Tue Oct 18 12:06:02 UTC 2022","Tue Oct 18 12:06:02 UTC 2022","9","","test_pipeline","TestPipeline","","","filter row in sync",""
"failed","Tue Oct 18 12:05:47 UTC 2022","Tue Oct 18 12:05:52 UTC 2022","5149","","test_datasource","TestDataSource","","","test mysql form valid",""
