"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Aug 11 07:49:01 UTC 2022","Thu Aug 11 07:49:04 UTC 2022","3435","","test_pipeline","TestPipeline","","","test stop job",""
"broken","Thu Aug 11 07:48:55 UTC 2022","Thu Aug 11 07:48:55 UTC 2022","371","","test_pipeline","TestPipeline","","","filter row in sync",""
"passed","Thu Aug 11 07:48:51 UTC 2022","Thu Aug 11 07:48:53 UTC 2022","1759","","test_pipeline","TestPipeline","","","real time database migrate between mongodb",""
"broken","Thu Aug 11 07:48:57 UTC 2022","Thu Aug 11 07:48:57 UTC 2022","307","","test_pipeline","TestPipeline","","","js udf in sync",""
"passed","Thu Aug 11 07:48:56 UTC 2022","Thu Aug 11 07:48:56 UTC 2022","81","","test_pipeline","TestPipeline","","","rename column in migrate",""
"broken","Thu Aug 11 07:48:56 UTC 2022","Thu Aug 11 07:48:57 UTC 2022","322","","test_pipeline","TestPipeline","","","rename column in sync",""
"passed","Thu Aug 11 07:48:46 UTC 2022","Thu Aug 11 07:48:51 UTC 2022","5114","","test_datasource","TestDataSource","","","create PG datasource with form",""
"broken","Thu Aug 11 07:48:55 UTC 2022","Thu Aug 11 07:48:56 UTC 2022","479","","test_pipeline","TestPipeline","","","filter column in sync",""
"passed","Thu Aug 11 07:48:59 UTC 2022","Thu Aug 11 07:48:59 UTC 2022","55","","test_pipeline","TestPipeline","","","test_processor_migrate",""
"passed","Thu Aug 11 07:48:31 UTC 2022","Thu Aug 11 07:48:36 UTC 2022","5117","","test_datasource","TestDataSource","","","create mongodb datasource with form",""
"broken","Thu Aug 11 07:48:59 UTC 2022","Thu Aug 11 07:48:59 UTC 2022","326","","test_pipeline","TestPipeline","","","js udf in sync",""
"passed","Thu Aug 11 07:48:55 UTC 2022","Thu Aug 11 07:48:55 UTC 2022","46","","test_pipeline","TestPipeline","","","filter row in migrate",""
"passed","Thu Aug 11 07:48:46 UTC 2022","Thu Aug 11 07:48:46 UTC 2022","0","","test_datasource","TestDataSource","","","test mysql form valid",""
"passed","Thu Aug 11 07:48:36 UTC 2022","Thu Aug 11 07:48:46 UTC 2022","10175","","test_datasource","TestDataSource","","","create mongodb datasource with uri",""
"passed","Thu Aug 11 07:48:53 UTC 2022","Thu Aug 11 07:48:55 UTC 2022","1626","","test_pipeline","TestPipeline","","","real time table sync between mongodb",""
"broken","Thu Aug 11 07:48:58 UTC 2022","Thu Aug 11 07:48:59 UTC 2022","251","","test_pipeline","TestPipeline","","","multi layer table merge in sync",""
"passed","Thu Aug 11 07:48:59 UTC 2022","Thu Aug 11 07:49:01 UTC 2022","1280","","test_pipeline","TestPipeline","","","config job",""
"passed","Thu Aug 11 07:48:17 UTC 2022","Thu Aug 11 07:48:31 UTC 2022","13859","","test_datasource","TestDataSource","","","create datasource with mongodb uri",""
"passed","Thu Aug 11 07:49:09 UTC 2022","Thu Aug 11 07:49:12 UTC 2022","3229","","test_pipeline","TestPipeline","","","test monitor job status",""
"broken","Thu Aug 11 07:48:58 UTC 2022","Thu Aug 11 07:48:58 UTC 2022","473","","test_pipeline","TestPipeline","","","table merge in sync",""
"passed","Thu Aug 11 07:48:57 UTC 2022","Thu Aug 11 07:48:58 UTC 2022","85","","test_pipeline","TestPipeline","","","table merge in migrate?",""
"passed","Thu Aug 11 07:49:12 UTC 2022","Thu Aug 11 07:49:14 UTC 2022","2350","","test_pipeline","TestPipeline","","","test_check",""
"passed","Thu Aug 11 07:48:55 UTC 2022","Thu Aug 11 07:48:55 UTC 2022","48","","test_pipeline","TestPipeline","","","filter column in migrate",""
"passed","Thu Aug 11 07:48:57 UTC 2022","Thu Aug 11 07:48:57 UTC 2022","32","","test_pipeline","TestPipeline","","","js udf in migrate",""
"passed","Thu Aug 11 07:49:04 UTC 2022","Thu Aug 11 07:49:08 UTC 2022","4334","","test_pipeline","TestPipeline","","","test get job status",""
