"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Aug 11 15:40:12 UTC 2022","Thu Aug 11 15:40:13 UTC 2022","1335","","test_pipeline","TestPipeline","","","config job",""
"passed","Thu Aug 11 15:39:58 UTC 2022","Thu Aug 11 15:39:58 UTC 2022","77","","test_pipeline","TestPipeline","","","rename column in migrate",""
"passed","Thu Aug 11 15:39:56 UTC 2022","Thu Aug 11 15:39:56 UTC 2022","71","","test_pipeline","TestPipeline","","","filter column in migrate",""
"passed","Thu Aug 11 15:39:34 UTC 2022","Thu Aug 11 15:39:45 UTC 2022","10247","","test_datasource","TestDataSource","","","create mongodb datasource with uri",""
"passed","Thu Aug 11 15:40:25 UTC 2022","Thu Aug 11 15:40:27 UTC 2022","1680","","test_pipeline","TestPipeline","","","test_check",""
"passed","Thu Aug 11 15:39:45 UTC 2022","Thu Aug 11 15:39:50 UTC 2022","5140","","test_datasource","TestDataSource","","","create PG datasource with form",""
"passed","Thu Aug 11 15:39:54 UTC 2022","Thu Aug 11 15:39:54 UTC 2022","68","","test_pipeline","TestPipeline","","","filter row in migrate",""
"passed","Thu Aug 11 15:40:12 UTC 2022","Thu Aug 11 15:40:12 UTC 2022","49","","test_pipeline","TestPipeline","","","test_processor_migrate",""
"passed","Thu Aug 11 15:39:45 UTC 2022","Thu Aug 11 15:39:45 UTC 2022","0","","test_datasource","TestDataSource","","","test mysql form valid",""
"passed","Thu Aug 11 15:39:56 UTC 2022","Thu Aug 11 15:39:58 UTC 2022","2477","","test_pipeline","TestPipeline","","","filter column in sync",""
"passed","Thu Aug 11 15:39:58 UTC 2022","Thu Aug 11 15:40:01 UTC 2022","2366","","test_pipeline","TestPipeline","","","rename column in sync",""
"passed","Thu Aug 11 15:40:01 UTC 2022","Thu Aug 11 15:40:04 UTC 2022","3305","","test_pipeline","TestPipeline","","","js udf in sync",""
"passed","Thu Aug 11 15:39:52 UTC 2022","Thu Aug 11 15:39:54 UTC 2022","1727","","test_pipeline","TestPipeline","","","real time table sync between mongodb",""
"passed","Thu Aug 11 15:39:54 UTC 2022","Thu Aug 11 15:39:56 UTC 2022","2225","","test_pipeline","TestPipeline","","","filter row in sync",""
"passed","Thu Aug 11 15:40:04 UTC 2022","Thu Aug 11 15:40:07 UTC 2022","2455","","test_pipeline","TestPipeline","","","table merge in sync",""
"passed","Thu Aug 11 15:40:17 UTC 2022","Thu Aug 11 15:40:22 UTC 2022","4358","","test_pipeline","TestPipeline","","","test get job status",""
"passed","Thu Aug 11 15:39:22 UTC 2022","Thu Aug 11 15:39:29 UTC 2022","6987","","test_datasource","TestDataSource","","","create datasource with mongodb uri",""
"passed","Thu Aug 11 15:40:09 UTC 2022","Thu Aug 11 15:40:12 UTC 2022","2804","","test_pipeline","TestPipeline","","","js udf in sync",""
"passed","Thu Aug 11 15:40:07 UTC 2022","Thu Aug 11 15:40:09 UTC 2022","2414","","test_pipeline","TestPipeline","","","multi layer table merge in sync",""
"passed","Thu Aug 11 15:40:01 UTC 2022","Thu Aug 11 15:40:01 UTC 2022","71","","test_pipeline","TestPipeline","","","js udf in migrate",""
"passed","Thu Aug 11 15:40:13 UTC 2022","Thu Aug 11 15:40:17 UTC 2022","3964","","test_pipeline","TestPipeline","","","test stop job",""
"passed","Thu Aug 11 15:40:22 UTC 2022","Thu Aug 11 15:40:25 UTC 2022","3286","","test_pipeline","TestPipeline","","","test monitor job status",""
"passed","Thu Aug 11 15:40:04 UTC 2022","Thu Aug 11 15:40:04 UTC 2022","108","","test_pipeline","TestPipeline","","","table merge in migrate?",""
"passed","Thu Aug 11 15:39:50 UTC 2022","Thu Aug 11 15:39:52 UTC 2022","1922","","test_pipeline","TestPipeline","","","real time database migrate between mongodb",""
"passed","Thu Aug 11 15:39:29 UTC 2022","Thu Aug 11 15:39:34 UTC 2022","5158","","test_datasource","TestDataSource","","","create mongodb datasource with form",""
