"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Aug 16 04:48:16 UTC 2022","Tue Aug 16 04:48:18 UTC 2022","1950","","test_pipeline","TestPipeline","","","js udf in sync",""
"passed","Tue Aug 16 04:48:13 UTC 2022","Tue Aug 16 04:48:14 UTC 2022","138","","test_pipeline","TestPipeline","","","rename column in migrate",""
"passed","Tue Aug 16 04:48:00 UTC 2022","Tue Aug 16 04:48:00 UTC 2022","1","","test_datasource","TestDataSource","","","test mysql form valid",""
"passed","Tue Aug 16 04:48:24 UTC 2022","Tue Aug 16 04:48:26 UTC 2022","1837","","test_pipeline","TestPipeline","","","config job",""
"passed","Tue Aug 16 04:48:00 UTC 2022","Tue Aug 16 04:48:06 UTC 2022","5153","","test_datasource","TestDataSource","","","create PG datasource with form",""
"passed","Tue Aug 16 04:48:14 UTC 2022","Tue Aug 16 04:48:15 UTC 2022","1963","","test_pipeline","TestPipeline","","","rename column in sync",""
"passed","Tue Aug 16 04:48:06 UTC 2022","Tue Aug 16 04:48:08 UTC 2022","2404","","test_pipeline","TestPipeline","","","real time database migrate between mongodb",""
"passed","Tue Aug 16 04:48:10 UTC 2022","Tue Aug 16 04:48:12 UTC 2022","1583","","test_pipeline","TestPipeline","","","filter row in sync",""
"passed","Tue Aug 16 04:48:08 UTC 2022","Tue Aug 16 04:48:10 UTC 2022","1908","","test_pipeline","TestPipeline","","","real time table sync between mongodb",""
"passed","Tue Aug 16 04:48:18 UTC 2022","Tue Aug 16 04:48:18 UTC 2022","252","","test_pipeline","TestPipeline","","","table merge in migrate?",""
"passed","Tue Aug 16 04:48:10 UTC 2022","Tue Aug 16 04:48:10 UTC 2022","65","","test_pipeline","TestPipeline","","","filter row in migrate",""
"passed","Tue Aug 16 04:48:12 UTC 2022","Tue Aug 16 04:48:13 UTC 2022","1659","","test_pipeline","TestPipeline","","","filter column in sync",""
"passed","Tue Aug 16 04:48:12 UTC 2022","Tue Aug 16 04:48:12 UTC 2022","112","","test_pipeline","TestPipeline","","","filter column in migrate",""
"passed","Tue Aug 16 04:48:37 UTC 2022","Tue Aug 16 04:48:40 UTC 2022","3644","","test_pipeline","TestPipeline","","","test monitor job status",""
"passed","Tue Aug 16 04:47:38 UTC 2022","Tue Aug 16 04:47:45 UTC 2022","7120","","test_datasource","TestDataSource","","","create datasource with mongodb uri",""
"passed","Tue Aug 16 04:48:40 UTC 2022","Tue Aug 16 04:48:43 UTC 2022","2513","","test_pipeline","TestPipeline","","","test_check",""
"passed","Tue Aug 16 04:48:26 UTC 2022","Tue Aug 16 04:48:32 UTC 2022","6008","","test_pipeline","TestPipeline","","","test stop job",""
"passed","Tue Aug 16 04:48:32 UTC 2022","Tue Aug 16 04:48:37 UTC 2022","4731","","test_pipeline","TestPipeline","","","test get job status",""
"passed","Tue Aug 16 04:48:18 UTC 2022","Tue Aug 16 04:48:20 UTC 2022","2118","","test_pipeline","TestPipeline","","","table merge in sync",""
"passed","Tue Aug 16 04:48:24 UTC 2022","Tue Aug 16 04:48:24 UTC 2022","80","","test_pipeline","TestPipeline","","","test_processor_migrate",""
"passed","Tue Aug 16 04:47:45 UTC 2022","Tue Aug 16 04:47:50 UTC 2022","5187","","test_datasource","TestDataSource","","","create mongodb datasource with form",""
"passed","Tue Aug 16 04:48:15 UTC 2022","Tue Aug 16 04:48:16 UTC 2022","92","","test_pipeline","TestPipeline","","","js udf in migrate",""
"passed","Tue Aug 16 04:48:22 UTC 2022","Tue Aug 16 04:48:24 UTC 2022","1890","","test_pipeline","TestPipeline","","","js udf in sync",""
"passed","Tue Aug 16 04:47:50 UTC 2022","Tue Aug 16 04:48:00 UTC 2022","10233","","test_datasource","TestDataSource","","","create mongodb datasource with uri",""
"passed","Tue Aug 16 04:48:20 UTC 2022","Tue Aug 16 04:48:22 UTC 2022","2252","","test_pipeline","TestPipeline","","","multi layer table merge in sync",""
