"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sat Aug 20 03:53:38 UTC 2022","Sat Aug 20 03:53:40 UTC 2022","1379","","test_pipeline","TestPipeline","","","real time table sync between mongodb",""
"passed","Sat Aug 20 03:53:31 UTC 2022","Sat Aug 20 03:53:36 UTC 2022","5107","","test_datasource","TestDataSource","","","create PG datasource with form",""
"passed","Sat Aug 20 03:53:09 UTC 2022","Sat Aug 20 03:53:16 UTC 2022","6929","","test_datasource","TestDataSource","","","create datasource with mongodb uri",""
"passed","Sat Aug 20 03:53:49 UTC 2022","Sat Aug 20 03:53:51 UTC 2022","1724","","test_pipeline","TestPipeline","","","js udf in sync",""
"passed","Sat Aug 20 03:53:40 UTC 2022","Sat Aug 20 03:53:41 UTC 2022","1332","","test_pipeline","TestPipeline","","","filter row in sync",""
"passed","Sat Aug 20 03:53:16 UTC 2022","Sat Aug 20 03:53:21 UTC 2022","5114","","test_datasource","TestDataSource","","","create mongodb datasource with form",""
"passed","Sat Aug 20 03:54:07 UTC 2022","Sat Aug 20 03:54:09 UTC 2022","2270","","test_pipeline","TestPipeline","","","test_check",""
"passed","Sat Aug 20 03:53:44 UTC 2022","Sat Aug 20 03:53:44 UTC 2022","74","","test_pipeline","TestPipeline","","","js udf in migrate",""
"passed","Sat Aug 20 03:53:51 UTC 2022","Sat Aug 20 03:53:51 UTC 2022","173","","test_pipeline","TestPipeline","","","test_processor_migrate",""
"passed","Sat Aug 20 03:53:41 UTC 2022","Sat Aug 20 03:53:41 UTC 2022","83","","test_pipeline","TestPipeline","","","filter column in migrate",""
"passed","Sat Aug 20 03:54:03 UTC 2022","Sat Aug 20 03:54:07 UTC 2022","3314","","test_pipeline","TestPipeline","","","test monitor job status",""
"passed","Sat Aug 20 03:53:46 UTC 2022","Sat Aug 20 03:53:46 UTC 2022","109","","test_pipeline","TestPipeline","","","table merge in migrate?",""
"failed","Sat Aug 20 03:53:57 UTC 2022","Sat Aug 20 03:54:03 UTC 2022","6622","","test_pipeline","TestPipeline","","","test get job status",""
"passed","Sat Aug 20 03:53:40 UTC 2022","Sat Aug 20 03:53:40 UTC 2022","52","","test_pipeline","TestPipeline","","","filter row in migrate",""
"passed","Sat Aug 20 03:53:51 UTC 2022","Sat Aug 20 03:53:53 UTC 2022","1691","","test_pipeline","TestPipeline","","","config job",""
"passed","Sat Aug 20 03:53:43 UTC 2022","Sat Aug 20 03:53:44 UTC 2022","1406","","test_pipeline","TestPipeline","","","rename column in sync",""
"passed","Sat Aug 20 03:53:31 UTC 2022","Sat Aug 20 03:53:31 UTC 2022","0","","test_datasource","TestDataSource","","","test mysql form valid",""
"passed","Sat Aug 20 03:53:21 UTC 2022","Sat Aug 20 03:53:31 UTC 2022","10166","","test_datasource","TestDataSource","","","create mongodb datasource with uri",""
"passed","Sat Aug 20 03:53:36 UTC 2022","Sat Aug 20 03:53:38 UTC 2022","1928","","test_pipeline","TestPipeline","","","real time database migrate between mongodb",""
"passed","Sat Aug 20 03:53:46 UTC 2022","Sat Aug 20 03:53:47 UTC 2022","1606","","test_pipeline","TestPipeline","","","table merge in sync",""
"passed","Sat Aug 20 03:53:41 UTC 2022","Sat Aug 20 03:53:42 UTC 2022","1477","","test_pipeline","TestPipeline","","","filter column in sync",""
"passed","Sat Aug 20 03:53:53 UTC 2022","Sat Aug 20 03:53:57 UTC 2022","3828","","test_pipeline","TestPipeline","","","test stop job",""
"passed","Sat Aug 20 03:53:47 UTC 2022","Sat Aug 20 03:53:49 UTC 2022","1703","","test_pipeline","TestPipeline","","","multi layer table merge in sync",""
"passed","Sat Aug 20 03:53:42 UTC 2022","Sat Aug 20 03:53:43 UTC 2022","43","","test_pipeline","TestPipeline","","","rename column in migrate",""
"passed","Sat Aug 20 03:53:44 UTC 2022","Sat Aug 20 03:53:46 UTC 2022","1669","","test_pipeline","TestPipeline","","","js udf in sync",""
