"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Jul 20 10:20:53 UTC 2022","Wed Jul 20 10:20:54 UTC 2022","1722","","test_pipeline","TestPipeline","","","table merge in sync",""
"passed","Wed Jul 20 10:20:55 UTC 2022","Wed Jul 20 10:20:56 UTC 2022","321","","test_pipeline","TestPipeline","","","config job",""
"passed","Wed Jul 20 10:20:55 UTC 2022","Wed Jul 20 10:20:55 UTC 2022","393","","test_pipeline","TestPipeline","","","js udf in sync",""
"passed","Wed Jul 20 10:21:07 UTC 2022","Wed Jul 20 10:21:08 UTC 2022","1251","","test_pipeline","TestPipeline","","","test monitor job status",""
"passed","Wed Jul 20 10:20:51 UTC 2022","Wed Jul 20 10:20:51 UTC 2022","81","","test_pipeline","TestPipeline","","","js udf in migrate",""
"passed","Wed Jul 20 10:20:50 UTC 2022","Wed Jul 20 10:20:50 UTC 2022","100","","test_pipeline","TestPipeline","","","rename column in migrate",""
"passed","Wed Jul 20 10:20:23 UTC 2022","Wed Jul 20 10:20:28 UTC 2022","5207","","test_datasource","TestDataSource","","","create mongodb datasource with form",""
"passed","Wed Jul 20 10:20:54 UTC 2022","Wed Jul 20 10:20:55 UTC 2022","668","","test_pipeline","TestPipeline","","","multi layer table merge in sync",""
"passed","Wed Jul 20 10:20:44 UTC 2022","Wed Jul 20 10:20:46 UTC 2022","1774","","test_pipeline","TestPipeline","","","real time database migrate between mongodb",""
"failed","Wed Jul 20 10:21:01 UTC 2022","Wed Jul 20 10:21:07 UTC 2022","5592","","test_pipeline","TestPipeline","","","test get job status",""
"failed","Wed Jul 20 10:20:56 UTC 2022","Wed Jul 20 10:21:01 UTC 2022","5458","","test_pipeline","TestPipeline","","","test stop job",""
"passed","Wed Jul 20 10:20:52 UTC 2022","Wed Jul 20 10:20:53 UTC 2022","109","","test_pipeline","TestPipeline","","","table merge in migrate?",""
"passed","Wed Jul 20 10:20:28 UTC 2022","Wed Jul 20 10:20:39 UTC 2022","10365","","test_datasource","TestDataSource","","","create mongodb datasource with uri",""
"passed","Wed Jul 20 10:20:16 UTC 2022","Wed Jul 20 10:20:23 UTC 2022","7062","","test_datasource","TestDataSource","","","create datasource with mongodb uri",""
"passed","Wed Jul 20 10:20:50 UTC 2022","Wed Jul 20 10:20:50 UTC 2022","81","","test_pipeline","TestPipeline","","","filter column in migrate",""
"passed","Wed Jul 20 10:20:50 UTC 2022","Wed Jul 20 10:20:51 UTC 2022","673","","test_pipeline","TestPipeline","","","rename column in sync",""
"passed","Wed Jul 20 10:20:51 UTC 2022","Wed Jul 20 10:20:52 UTC 2022","1500","","test_pipeline","TestPipeline","","","js udf in sync",""
"passed","Wed Jul 20 10:20:55 UTC 2022","Wed Jul 20 10:20:55 UTC 2022","49","","test_pipeline","TestPipeline","","","test_processor_migrate",""
"passed","Wed Jul 20 10:20:46 UTC 2022","Wed Jul 20 10:20:48 UTC 2022","1946","","test_pipeline","TestPipeline","","","real time table sync between mongodb",""
"passed","Wed Jul 20 10:20:39 UTC 2022","Wed Jul 20 10:20:39 UTC 2022","1","","test_datasource","TestDataSource","","","test mysql form valid",""
"passed","Wed Jul 20 10:20:48 UTC 2022","Wed Jul 20 10:20:48 UTC 2022","73","","test_pipeline","TestPipeline","","","filter row in migrate",""
"passed","Wed Jul 20 10:20:50 UTC 2022","Wed Jul 20 10:20:50 UTC 2022","505","","test_pipeline","TestPipeline","","","filter column in sync",""
"passed","Wed Jul 20 10:20:48 UTC 2022","Wed Jul 20 10:20:50 UTC 2022","1723","","test_pipeline","TestPipeline","","","filter row in sync",""
"failed","Wed Jul 20 10:21:08 UTC 2022","Wed Jul 20 10:21:14 UTC 2022","5537","","test_pipeline","TestPipeline","","","test_check",""
"passed","Wed Jul 20 10:20:39 UTC 2022","Wed Jul 20 10:20:44 UTC 2022","5226","","test_datasource","TestDataSource","","","create PG datasource with form",""
